Index	Time (s)	Voltage (V)
1	-3.200000000e+00	-1.024000000e+00
2	-3.199680000e+00	-1.024000000e+00
3	-3.199360000e+00	-1.024000000e+00
4	-3.199040000e+00	-1.024000000e+00
5	-3.198720000e+00	-1.024000000e+00
6	-3.198400000e+00	-1.024000000e+00
7	-3.198080000e+00	-1.024000000e+00
8	-3.197760000e+00	-1.024000000e+00
9	-3.197440000e+00	-1.024000000e+00
10	-3.197120000e+00	-1.024000000e+00
11	-3.196800000e+00	-1.024000000e+00
12	-3.196480000e+00	-1.024000000e+00
13	-3.196160000e+00	-1.024000000e+00
14	-3.195840000e+00	-1.024000000e+00
15	-3.195520000e+00	-1.024000000e+00
16	-3.195200000e+00	-1.024000000e+00
17	-3.194880000e+00	-1.024000000e+00
18	-3.194560000e+00	-1.024000000e+00
19	-3.194240000e+00	-1.024000000e+00
20	-3.193920000e+00	-1.024000000e+00
21	-3.193600000e+00	-1.024000000e+00
22	-3.193280000e+00	-1.024000000e+00
23	-3.192960000e+00	-1.024000000e+00
24	-3.192640000e+00	-1.024000000e+00
25	-3.192320000e+00	-1.024000000e+00
26	-3.192000000e+00	-1.024000000e+00
27	-3.191680000e+00	-1.024000000e+00
28	-3.191360000e+00	-1.024000000e+00
29	-3.191040000e+00	-1.024000000e+00
30	-3.190720000e+00	-1.024000000e+00
31	-3.190400000e+00	-1.024000000e+00
32	-3.190080000e+00	-1.024000000e+00
33	-3.189760000e+00	-1.024000000e+00
34	-3.189440000e+00	-1.024000000e+00
35	-3.189120000e+00	-1.024000000e+00
36	-3.188800000e+00	-1.024000000e+00
37	-3.188480000e+00	-1.024000000e+00
38	-3.188160000e+00	-1.024000000e+00
39	-3.187840000e+00	-1.024000000e+00
40	-3.187520000e+00	-1.024000000e+00
41	-3.187200000e+00	-1.024000000e+00
42	-3.186880000e+00	-1.024000000e+00
43	-3.186560000e+00	-1.024000000e+00
44	-3.186240000e+00	-1.024000000e+00
45	-3.185920000e+00	-1.024000000e+00
46	-3.185600000e+00	-1.024000000e+00
47	-3.185280000e+00	-1.024000000e+00
48	-3.184960000e+00	-1.024000000e+00
49	-3.184640000e+00	-1.024000000e+00
50	-3.184320000e+00	-1.024000000e+00
51	-3.184000000e+00	-1.024000000e+00
52	-3.183680000e+00	-1.024000000e+00
53	-3.183360000e+00	-1.024000000e+00
54	-3.183040000e+00	-1.024000000e+00
55	-3.182720000e+00	-1.024000000e+00
56	-3.182400000e+00	-1.024000000e+00
57	-3.182080000e+00	-1.024000000e+00
58	-3.181760000e+00	-1.024000000e+00
59	-3.181440000e+00	-1.024000000e+00
60	-3.181120000e+00	-1.024000000e+00
61	-3.180800000e+00	-1.024000000e+00
62	-3.180480000e+00	-1.024000000e+00
63	-3.180160000e+00	-1.024000000e+00
64	-3.179840000e+00	-1.024000000e+00
65	-3.179520000e+00	-1.024000000e+00
66	-3.179200000e+00	-1.024000000e+00
67	-3.178880000e+00	-1.024000000e+00
68	-3.178560000e+00	-1.024000000e+00
69	-3.178240000e+00	-1.024000000e+00
70	-3.177920000e+00	-1.024000000e+00
71	-3.177600000e+00	-1.024000000e+00
72	-3.177280000e+00	-1.024000000e+00
73	-3.176960000e+00	-1.024000000e+00
74	-3.176640000e+00	-1.024000000e+00
75	-3.176320000e+00	-1.024000000e+00
76	-3.176000000e+00	-1.024000000e+00
77	-3.175680000e+00	-1.024000000e+00
78	-3.175360000e+00	-1.024000000e+00
79	-3.175040000e+00	-1.024000000e+00
80	-3.174720000e+00	-1.024000000e+00
81	-3.174400000e+00	-1.024000000e+00
82	-3.174080000e+00	-1.024000000e+00
83	-3.173760000e+00	-1.024000000e+00
84	-3.173440000e+00	-1.024000000e+00
85	-3.173120000e+00	-1.024000000e+00
86	-3.172800000e+00	-1.024000000e+00
87	-3.172480000e+00	-1.024000000e+00
88	-3.172160000e+00	-1.024000000e+00
89	-3.171840000e+00	-1.024000000e+00
90	-3.171520000e+00	-1.024000000e+00
91	-3.171200000e+00	-1.024000000e+00
92	-3.170880000e+00	-1.024000000e+00
93	-3.170560000e+00	-1.024000000e+00
94	-3.170240000e+00	-1.024000000e+00
95	-3.169920000e+00	-1.024000000e+00
96	-3.169600000e+00	-1.024000000e+00
97	-3.169280000e+00	-1.024000000e+00
98	-3.168960000e+00	-1.024000000e+00
99	-3.168640000e+00	-1.024000000e+00
100	-3.168320000e+00	-1.024000000e+00
101	-3.168000000e+00	-1.024000000e+00
102	-3.167680000e+00	-1.024000000e+00
103	-3.167360000e+00	-1.024000000e+00
104	-3.167040000e+00	-1.024000000e+00
105	-3.166720000e+00	-1.024000000e+00
106	-3.166400000e+00	-1.024000000e+00
107	-3.166080000e+00	-1.024000000e+00
108	-3.165760000e+00	-1.024000000e+00
109	-3.165440000e+00	-1.024000000e+00
110	-3.165120000e+00	-1.024000000e+00
111	-3.164800000e+00	-1.024000000e+00
112	-3.164480000e+00	-1.024000000e+00
113	-3.164160000e+00	-1.024000000e+00
114	-3.163840000e+00	-1.024000000e+00
115	-3.163520000e+00	-1.024000000e+00
116	-3.163200000e+00	-1.024000000e+00
117	-3.162880000e+00	-1.024000000e+00
118	-3.162560000e+00	-1.024000000e+00
119	-3.162240000e+00	-1.024000000e+00
120	-3.161920000e+00	-1.024000000e+00
121	-3.161600000e+00	-1.024000000e+00
122	-3.161280000e+00	-1.024000000e+00
123	-3.160960000e+00	-1.024000000e+00
124	-3.160640000e+00	-1.024000000e+00
125	-3.160320000e+00	-1.024000000e+00
126	-3.160000000e+00	-1.024000000e+00
127	-3.159680000e+00	-1.024000000e+00
128	-3.159360000e+00	-1.024000000e+00
129	-3.159040000e+00	-1.024000000e+00
130	-3.158720000e+00	-1.024000000e+00
131	-3.158400000e+00	-1.024000000e+00
132	-3.158080000e+00	-1.024000000e+00
133	-3.157760000e+00	-1.024000000e+00
134	-3.157440000e+00	-1.024000000e+00
135	-3.157120000e+00	-1.024000000e+00
136	-3.156800000e+00	-1.024000000e+00
137	-3.156480000e+00	-1.024000000e+00
138	-3.156160000e+00	-1.024000000e+00
139	-3.155840000e+00	-1.024000000e+00
140	-3.155520000e+00	-1.024000000e+00
