sample,section,sweep_index,file_name,R_pos_0_to_0p5_ohm,R_neg_m0p5_to_0_ohm,R_pos_label,R_neg_label,G_pos_S,G_neg_S,width_m,thickness_m,length_m_min,length_m_max,sigma_nominal_Spm,sigma_lo_Spm,sigma_hi_Spm,rho_nominal_ohm_m,rho_lo_ohm_m,rho_hi_ohm_m,Rsheet_nominal_ohm_sq,Rsheet_lo_ohm_sq,Rsheet_hi_ohm_sq,ohmic,switching_voltages_V
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,6716.475823265276,6218.520988774926,6.72 kΩ,6.22 kΩ,0.00014888760509433962,0.00016080994207547157,0.00019999999999999998,5e-08,0.0067,0.00695,101615.79047688679,99754.69541320756,103476.88554056604,9.8409902172385e-06,9.66399399030975e-06,1.0024590780992948e-05,196.81980434476998,193.27987980619497,200.49181561985895,X,0.05;-0.05
7_ITO,A,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,6210.5079345538115,6315.192977592021,6.21 kΩ,6.32 kΩ,0.00016101742571428566,0.0001583482885714285,0.00019999999999999998,5e-08,0.0067,0.00695,109894.39304999996,107881.6752285714,111907.11087142854,9.099645325353571e-06,8.935982639645771e-06,9.269414827692256e-06,181.9929065070714,178.71965279291544,185.3882965538451,X,0.05;-0.05
7_ITO,A,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,6823.7147264628975,9581.01372666248,6.82 kΩ,9.58 kΩ,0.0001465477441666666,0.00010437308916666663,0.00019999999999999998,5e-08,0.0067,0.00695,100018.83539374995,98186.98859166662,101850.68219583329,9.998116815330253e-06,9.81829457045021e-06,1.018464884546701e-05,199.96233630660507,196.36589140900423,203.6929769093402,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,B,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,16173.233765006611,17118.057737367762,16.2 kΩ,17.1 kΩ,6.183055377358489e-05,5.8417842452830146e-05,9.999999999999999e-05,5e-08,0.0067,0.00695,84398.70590094337,82852.94205660376,85944.469745283,1.1848522904766747e-05,1.1635419974824899e-05,1.2069577436572097e-05,236.97045809533495,232.70839949649798,241.39154873144193,X,0.05;-0.05
7_ITO,B,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,17141.403551835956,16637.4702831013,17.1 kΩ,16.6 kΩ,5.833827999999997e-05,6.010529142857141e-05,9.999999999999999e-05,5e-08,0.0067,0.00695,79631.75219999996,78173.29519999996,81090.20919999995,1.2557804799879822e-05,1.2331945001320832e-05,1.2792092202862653e-05,251.15609599759642,246.63890002641662,255.84184405725304,X,0.05;-0.05
7_ITO,B,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,17704.25188854206,16714.332227884548,17.7 kΩ,16.7 kΩ,5.648360666666665e-05,5.9828893333333316e-05,9.999999999999999e-05,5e-08,0.0067,0.00695,77100.12309999998,75688.03293333332,78512.21326666664,1.2970147903693817e-05,1.2736871862260476e-05,1.3212128275031388e-05,259.40295807387633,254.7374372452095,264.24256550062773,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,D,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,4566.639302674662,4516.380427791965,4.57 kΩ,4.52 kΩ,0.0002189794143396226,0.00022141624603773575,0.00019999999999999998,5e-08,0.0067,0.00695,149453.45028679242,146716.20760754714,152190.6929660377,6.6910465973255126e-06,6.570704032625413e-06,6.815879556230839e-06,133.82093194651023,131.41408065250823,136.31759112461674,X,0.05;-0.05
7_ITO,D,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,4543.342717153383,4536.957531057194,4.54 kΩ,4.54 kΩ,0.00022010225999999992,0.00022041202571428564,0.00019999999999999998,5e-08,0.0067,0.00695,150219.79244999995,147468.51419999995,152971.07069999995,6.656912406085543e-06,6.53718376568832e-06,6.781108533064751e-06,133.13824812171086,130.7436753137664,135.622170661295,X,0.05;-0.05
7_ITO,D,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4450.831230657117,4436.517201566734,4.45 kΩ,4.44 kΩ,0.00022467713291666664,0.00022540203374999987,0.00019999999999999998,5e-08,0.0067,0.00695,153342.143215625,150533.67905416666,156150.60737708333,6.5213644405232475e-06,6.404073713175707e-06,6.6430316875479355e-06,130.42728881046497,128.08147426351414,132.8606337509587,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,E,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,14238.677486274111,14044.939391170805,14.2 kΩ,14 kΩ,7.02312416981132e-05,7.120002245283016e-05,9.999999999999999e-05,5e-08,0.0067,0.00695,95865.64491792451,94109.8638754717,97621.42596037734,1.0431265557709973e-05,1.0243652867823102e-05,1.0625878721100082e-05,208.62531115419944,204.87305735646203,212.51757442200164,X,0.05;-0.05
7_ITO,E,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,14327.999721791188,14044.74346282902,14.3 kΩ,14 kΩ,6.979341285714283e-05,7.120101571428568e-05,9.999999999999999e-05,5e-08,0.0067,0.00695,95268.00854999997,93523.17322857141,97012.84387142854,1.0496703092887317e-05,1.0307913468914523e-05,1.0692537105814318e-05,209.93406185774634,206.15826937829047,213.85074211628637,X,0.05;-0.05
7_ITO,E,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,14357.140031862802,14132.961535943881,14.4 kΩ,14.1 kΩ,6.965175499999999e-05,7.075657833333332e-05,9.999999999999999e-05,5e-08,0.0067,0.00695,95074.64557499999,93333.3517,96815.93944999999,1.0518051305393995e-05,1.0328877720764606e-05,1.0714283605867761e-05,210.3610261078799,206.5775544152921,214.28567211735523,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,F,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,11891.023525795496,11895.470639077548,11.9 kΩ,11.9 kΩ,8.409705e-05,8.406561037735843e-05,,5e-08,0.0067,0.00695,,,,,,,,,,X,0.05;-0.05
7_ITO,F,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,11884.933873416427,11904.882978231655,11.9 kΩ,11.9 kΩ,8.414013999999996e-05,8.399914571428567e-05,,5e-08,0.0067,0.00695,,,,,,,,,,X,0.05;-0.05
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,11894.042516939966,11909.58776897246,11.9 kΩ,11.9 kΩ,8.407570416666666e-05,8.396596249999998e-05,,5e-08,0.0067,0.00695,,,,,,,,,,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,G,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,3855.6041613870348,3854.90834860847,3.86 kΩ,3.85 kΩ,0.0002593627245283019,0.0002594095396226414,0.00019999999999999998,5e-08,0.0067,0.00695,177015.05949056603,173773.0254339623,180257.09354716982,5.649236866501151e-06,5.54763188688782e-06,5.754633076697067e-06,112.984737330023,110.95263773775639,115.09266153394132,X,0.05;-0.05
7_ITO,G,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,3855.6066496876774,3856.107476546192,3.86 kΩ,3.86 kΩ,0.0002593625571428571,0.0002593288714285713,0.00019999999999999998,5e-08,0.0067,0.00695,177014.94524999996,173772.91328571425,180256.97721428567,5.649240512362897e-06,5.547635467176514e-06,5.754636790578623e-06,112.98481024725794,110.95270934353027,115.09273581157244,X,0.05;-0.05
7_ITO,G,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3854.60754409655,3854.9973583630613,3.85 kΩ,3.85 kΩ,0.0002594297833333333,0.0002594035499999999,0.00019999999999999998,5e-08,0.0067,0.00695,177060.82712499998,173817.95483333332,180303.69941666664,5.647776621386887e-06,5.546197905174893e-06,5.753145588203806e-06,112.95553242773774,110.92395810349784,115.0629117640761,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,H,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,11294.642829648315,11182.921243494342,11.3 kΩ,11.2 kΩ,8.853754962264152e-05,8.942207301886789e-05,0.00019999999999999998,5e-08,0.0067,0.00695,60426.87761745284,59320.15824716983,61533.59698773586,1.6548927222927936e-05,1.6251284646975994e-05,1.6857675865146738e-05,330.9785444585587,325.02569293951984,337.15351730293474,X,0.05;-0.05
7_ITO,H,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,11426.951972953453,11186.179341189812,11.4 kΩ,11.2 kΩ,8.751240071428569e-05,8.939602785714282e-05,0.00019999999999999998,5e-08,0.0067,0.00695,59727.213487499976,58633.308478571416,60821.11849642855,1.6742786773558175e-05,1.644165751504094e-05,1.7055152198437987e-05,334.8557354711635,328.8331503008188,341.1030439687598,X,0.05;-0.05
7_ITO,H,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,11219.369928038403,11037.312167251488,11.2 kΩ,11 kΩ,8.913156499999998e-05,9.060176833333329e-05,0.00019999999999999998,5e-08,0.0067,0.00695,60832.29311249998,59718.14854999999,61946.43767499999,1.6438637257199125e-05,1.614297831372432e-05,1.6745328250803586e-05,328.7727451439825,322.8595662744864,334.9065650160717,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,I,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,9481.065184936699,9483.403561545178,9.48 kΩ,9.48 kΩ,0.00010547338094339625,0.00010544737377358483,9.999999999999999e-05,5e-08,0.0067,0.00695,143971.1649877359,141334.330464151,146607.99951132078,6.945835300319925e-06,6.820910204990431e-06,7.075421779803505e-06,138.91670600639853,136.4182040998086,141.50843559607011,X,0.05;-0.05
7_ITO,I,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,9482.059628243529,9486.203309949104,9.48 kΩ,9.49 kΩ,0.00010546231928571424,0.00010541625214285707,9.999999999999999e-05,5e-08,0.0067,0.00695,143956.06582499994,141319.5078428571,146592.6238071428,6.94656383021504e-06,6.821625631829877e-06,7.076163901674275e-06,138.9312766043008,136.43251263659752,141.5232780334855,X,0.05;-0.05
7_ITO,I,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,9485.69273557549,9485.889417366672,9.49 kΩ,9.49 kΩ,0.00010542192624999999,0.00010541974041666667,9.999999999999999e-05,5e-08,0.0067,0.00695,143900.92933125,141265.381175,146536.4774875,6.9492254473080515e-06,6.824239378111863e-06,7.078875175802605e-06,138.98450894616104,136.48478756223727,141.57750351605208,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,K,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,3979.9029917418893,3979.459232786542,3.98 kΩ,3.98 kΩ,0.00025126240566037734,0.0002512904245283017,,5e-08,0.0067,0.00695,,,,,,,,,,X,0.05;-0.05
7_ITO,K,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,3972.074275065237,3964.4859086879233,3.97 kΩ,3.96 kΩ,0.0002517576285714285,0.0002522395142857142,,5e-08,0.0067,0.00695,,,,,,,,,,X,0.05;-0.05
7_ITO,K,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3957.58406510437,3956.678198515185,3.96 kΩ,3.96 kΩ,0.00025267940833333325,0.00025273725833333324,,5e-08,0.0067,0.00695,,,,,,,,,,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,L,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,33055.666998717505,32538.472456890016,33.1 kΩ,32.5 kΩ,3.0251998849056596e-05,3.0732850207547163e-05,9.999999999999999e-05,5e-08,0.0067,0.00695,41293.97842896225,40537.67845773584,42050.27840018867,2.4216605859866304e-05,2.3781055394760795e-05,2.4668408207998133e-05,484.33211719732606,475.62110789521586,493.3681641599627,X,0.05;-0.05
7_ITO,L,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,26970.333563556607,37693.468897607054,27 kΩ,37.7 kΩ,3.7077776499999985e-05,2.6529794928571417e-05,9.999999999999999e-05,5e-08,0.0067,0.00695,50611.16492249998,49684.220509999985,51538.10933499998,1.9758486127147698e-05,1.940311767162346e-05,2.012711459966911e-05,395.16972254295393,388.06235343246914,402.54229199338215,X,0.05;-0.05
7_ITO,L,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,18953.113528726753,16414.215036317193,19 kΩ,16.4 kΩ,5.276177966666666e-05,6.092280366666665e-05,9.999999999999999e-05,5e-08,0.0067,0.00695,72019.829245,70700.78475333334,73338.87373666666,1.3885064856210073e-05,1.3635333473904138e-05,1.4144114573676678e-05,277.7012971242015,272.70666947808274,282.8822914735336,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
