# Tektronix TBS1000C RAW CURV? capture
# Preamble (WFMO/WFMPRE):
#   BYT_NR: 1
#   BIT_NR: 8
#   ENC: ASCII
#   BN_FMT: RI
#   BYT_OR: LSB
#   WFID: "Ch1, DC coupling, 200.0mV/div, 400.0ms/div, 20000 points, Sample mode"
#   NR_PT: 20000
#   PT_FMT: Y
#   XUNIT: "s"
#   XINCR: 0.00032
#   XZERO: -3.2
#   PT_OFF: 0
#   YUNIT: "V"
#   YMULT: 0.008
#   YOFF: 0.0
#   YZERO: 0.0
#   FIELD_16: 20000
#   FIELD_17: 200000000
#   _CH_V_SCALE: 0.5
#   _CH_V_OFFSET: 0.0
# Raw ADC codes (comma-separated values from CURV?):
# Origin-compatible column format:
Index	Raw_ADC_Code
1	-128
2	-128
3	-128
4	-128
5	-128
6	-128
7	-128
8	-128
9	-128
10	-128
11	-128
12	-128
13	-128
14	-128
15	-128
16	-128
17	-128
18	-128
19	-128
20	-128
21	-128
22	-128
23	-128
24	-128
25	-128
26	-128
27	-128
28	-128
29	-128
30	-128
31	-128
32	-128
33	-128
34	-128
35	-128
36	-128
37	-128
38	-128
39	-128
40	-128
41	-128
42	-128
43	-128
44	-128
45	-128
46	-128
47	-128
48	-128
49	-128
50	-128
51	-128
52	-128
53	-128
54	-128
55	-128
56	-128
57	-128
58	-128
59	-128
60	-128
61	-128
62	-128
63	-128
64	-128
65	-128
66	-128
67	-128
68	-128
69	-128
70	-128
71	-128
72	-128
73	-128
74	-128
75	-128
76	-128
77	-128
78	-128
79	-128
80	-128
81	-128
82	-128
83	-128
84	-128
85	-128
86	-128
87	-128
88	-128
89	-128
90	-128
91	-128
92	-128
93	-128
94	-128
95	-128
96	-128
97	-128
98	-128
99	-128
100	-128
101	-128
102	-128
103	-128
104	-128
105	-128
106	-128
107	-128
108	-128
109	-128
110	-128
111	-128
112	-128
113	-128
114	-128
115	-128
116	-128
117	-128
118	-128
119	-128
120	-128
121	-128
122	-128
123	-128
124	-128
125	-128
126	-128
127	-128
128	-128
129	-128
130	-128
131	-128
132	-128
133	-128
134	-128
135	-128
136	-128
137	-128
138	-128
139	-128
140	-128
141	-128
142	-128
143	-128
144	-128
145	-128
146	-128
147	-128
148	-128
149	-128
150	-128
151	-128
152	-128
153	-128
154	-128
155	-128
156	-128
157	-128
158	-128
159	-128
160	-128
