t_s,V_V,I_A
1.756223331e+09,0.000000000e+00,2.150800000e+04
1.756223331e+09,2.500000000e-02,2.150800000e+04
1.756223331e+09,5.000000000e-02,2.150800000e+04
1.756223332e+09,7.500000000e-02,2.150800000e+04
1.756223332e+09,1.000000000e-01,2.150800000e+04
1.756223332e+09,1.250000000e-01,2.151600000e+04
1.756223332e+09,1.500000000e-01,2.151600000e+04
1.756223332e+09,1.750000000e-01,2.151600000e+04
1.756223332e+09,2.000000000e-01,2.151600000e+04
1.756223332e+09,2.250000000e-01,2.151600000e+04
1.756223332e+09,2.500000000e-01,2.151600000e+04
1.756223333e+09,2.750000000e-01,2.151600000e+04
1.756223333e+09,3.000000000e-01,2.151600000e+04
1.756223333e+09,3.250000000e-01,2.151600000e+04
1.756223333e+09,3.500000000e-01,2.151600000e+04
1.756223333e+09,3.750000000e-01,2.151600000e+04
1.756223333e+09,4.000000000e-01,2.151600000e+04
1.756223333e+09,4.250000000e-01,2.151600000e+04
1.756223333e+09,4.500000000e-01,2.151600000e+04
1.756223333e+09,4.750000000e-01,2.151600000e+04
1.756223334e+09,5.000000000e-01,2.151600000e+04
1.756223334e+09,5.250000000e-01,2.151600000e+04
1.756223334e+09,5.500000000e-01,2.151600000e+04
1.756223334e+09,5.750000000e-01,2.151600000e+04
1.756223334e+09,6.000000000e-01,2.151600000e+04
1.756223334e+09,6.250000000e-01,2.151600000e+04
1.756223334e+09,6.500000000e-01,2.151600000e+04
1.756223334e+09,6.750000000e-01,2.151600000e+04
1.756223335e+09,7.000000000e-01,2.151600000e+04
1.756223335e+09,7.250000000e-01,2.151600000e+04
1.756223335e+09,7.500000000e-01,2.151600000e+04
1.756223335e+09,7.750000000e-01,2.151600000e+04
1.756223335e+09,8.000000000e-01,2.151600000e+04
1.756223335e+09,8.250000000e-01,2.151600000e+04
1.756223335e+09,8.500000000e-01,2.151600000e+04
1.756223335e+09,8.750000000e-01,2.151600000e+04
1.756223336e+09,9.000000000e-01,2.151600000e+04
1.756223336e+09,9.250000000e-01,2.151600000e+04
1.756223336e+09,9.500000000e-01,2.151600000e+04
1.756223336e+09,9.750000000e-01,2.151600000e+04
1.756223336e+09,1.000000000e+00,2.151600000e+04
1.756223336e+09,9.750000000e-01,2.151600000e+04
1.756223336e+09,9.500000000e-01,2.151600000e+04
1.756223336e+09,9.250000000e-01,2.151600000e+04
1.756223337e+09,9.000000000e-01,2.151600000e+04
1.756223337e+09,8.750000000e-01,2.151600000e+04
1.756223337e+09,8.500000000e-01,2.151600000e+04
1.756223337e+09,8.250000000e-01,2.151600000e+04
1.756223337e+09,8.000000000e-01,2.151600000e+04
1.756223337e+09,7.750000000e-01,2.151600000e+04
1.756223337e+09,7.500000000e-01,2.151600000e+04
1.756223337e+09,7.250000000e-01,2.151600000e+04
1.756223337e+09,7.000000000e-01,2.151600000e+04
1.756223338e+09,6.750000000e-01,2.151600000e+04
1.756223338e+09,6.500000000e-01,2.151600000e+04
1.756223338e+09,6.250000000e-01,2.151600000e+04
1.756223338e+09,6.000000000e-01,2.151600000e+04
1.756223338e+09,5.750000000e-01,2.151600000e+04
1.756223338e+09,5.500000000e-01,2.151600000e+04
1.756223338e+09,5.250000000e-01,2.151600000e+04
1.756223338e+09,5.000000000e-01,2.151600000e+04
1.756223339e+09,4.750000000e-01,2.151600000e+04
1.756223339e+09,4.500000000e-01,2.151600000e+04
1.756223339e+09,4.250000000e-01,2.151600000e+04
1.756223339e+09,4.000000000e-01,2.151600000e+04
1.756223339e+09,3.750000000e-01,2.151600000e+04
1.756223339e+09,3.500000000e-01,2.151600000e+04
1.756223339e+09,3.250000000e-01,2.151600000e+04
1.756223339e+09,3.000000000e-01,2.151600000e+04
1.756223340e+09,2.750000000e-01,2.151600000e+04
1.756223340e+09,2.500000000e-01,2.151600000e+04
1.756223340e+09,2.250000000e-01,2.151600000e+04
1.756223340e+09,2.000000000e-01,2.151600000e+04
1.756223340e+09,1.750000000e-01,2.151600000e+04
1.756223340e+09,1.500000000e-01,2.151600000e+04
1.756223340e+09,1.250000000e-01,2.151600000e+04
1.756223340e+09,1.000000000e-01,2.150800000e+04
1.756223340e+09,7.500000000e-02,2.150800000e+04
1.756223341e+09,5.000000000e-02,2.150800000e+04
1.756223341e+09,2.500000000e-02,2.150800000e+04
1.756223341e+09,0.000000000e+00,2.150800000e+04
