t_s,V_V,I_A
1.756152484e+09,0.000000000e+00,1.000000000e-10
1.756152484e+09,2.500000000e-02,1.040490891e-10
1.756152484e+09,5.000000000e-02,1.081977261e-10
1.756152484e+09,7.500000000e-02,1.124479949e-10
1.756152484e+09,1.000000000e-01,1.168020201e-10
1.756152484e+09,1.250000000e-01,1.212619670e-10
1.756152484e+09,1.500000000e-01,1.258300426e-10
1.756152484e+09,1.750000000e-01,1.305084967e-10
1.756152484e+09,2.000000000e-01,1.352996222e-10
1.756152484e+09,2.250000000e-01,1.402057561e-10
1.756152484e+09,2.500000000e-01,1.452292803e-10
1.756152484e+09,2.750000000e-01,1.503726226e-10
1.756152484e+09,3.000000000e-01,1.556382572e-10
1.756152484e+09,3.250000000e-01,1.610287057e-10
1.756152484e+09,3.500000000e-01,1.665465381e-10
1.756152484e+09,3.750000000e-01,1.721943735e-10
1.756152484e+09,4.000000000e-01,1.779748810e-10
1.756152484e+09,4.250000000e-01,1.838907810e-10
1.756152484e+09,4.500000000e-01,1.899448454e-10
1.756152485e+09,4.750000000e-01,1.961398991e-10
1.756152485e+09,5.000000000e-01,2.024788211e-10
1.756152485e+09,5.250000000e-01,2.089645449e-10
1.756152485e+09,5.500000000e-01,2.156000599e-10
1.756152485e+09,5.750000000e-01,2.223884123e-10
1.756152485e+09,6.000000000e-01,2.293327063e-10
1.756152485e+09,6.250000000e-01,2.364361049e-10
1.756152485e+09,6.500000000e-01,2.437018310e-10
1.756152485e+09,6.750000000e-01,2.511331688e-10
1.756152485e+09,7.000000000e-01,2.587334645e-10
1.756152485e+09,7.250000000e-01,2.665061277e-10
1.756152485e+09,7.500000000e-01,2.744546325e-10
1.756152485e+09,7.750000000e-01,2.825825185e-10
1.756152485e+09,8.000000000e-01,2.908933924e-10
1.756152485e+09,8.250000000e-01,2.993909286e-10
1.756152485e+09,8.500000000e-01,3.080788711e-10
1.756152485e+09,8.750000000e-01,3.169610341e-10
1.756152485e+09,9.000000000e-01,3.260413038e-10
1.756152485e+09,9.250000000e-01,3.353236396e-10
1.756152485e+09,9.500000000e-01,3.448120750e-10
1.756152485e+09,9.750000000e-01,3.545107197e-10
1.756152485e+09,1.000000000e+00,3.644237601e-10
1.756152485e+09,9.750000000e-01,3.545107197e-10
1.756152485e+09,9.500000000e-01,3.448120750e-10
1.756152485e+09,9.250000000e-01,3.353236396e-10
1.756152485e+09,9.000000000e-01,3.260413038e-10
1.756152485e+09,8.750000000e-01,3.169610341e-10
1.756152485e+09,8.500000000e-01,3.080788711e-10
1.756152485e+09,8.250000000e-01,2.993909286e-10
1.756152485e+09,8.000000000e-01,2.908933924e-10
1.756152485e+09,7.750000000e-01,2.825825185e-10
1.756152485e+09,7.500000000e-01,2.744546325e-10
1.756152485e+09,7.250000000e-01,2.665061277e-10
1.756152485e+09,7.000000000e-01,2.587334645e-10
1.756152485e+09,6.750000000e-01,2.511331688e-10
1.756152485e+09,6.500000000e-01,2.437018310e-10
1.756152485e+09,6.250000000e-01,2.364361049e-10
1.756152485e+09,6.000000000e-01,2.293327063e-10
1.756152485e+09,5.750000000e-01,2.223884123e-10
1.756152486e+09,5.500000000e-01,2.156000599e-10
1.756152486e+09,5.250000000e-01,2.089645449e-10
1.756152486e+09,5.000000000e-01,2.024788211e-10
1.756152486e+09,4.750000000e-01,1.961398991e-10
1.756152486e+09,4.500000000e-01,1.899448454e-10
1.756152486e+09,4.250000000e-01,1.838907810e-10
1.756152486e+09,4.000000000e-01,1.779748810e-10
1.756152486e+09,3.750000000e-01,1.721943735e-10
1.756152486e+09,3.500000000e-01,1.665465381e-10
1.756152486e+09,3.250000000e-01,1.610287057e-10
1.756152486e+09,3.000000000e-01,1.556382572e-10
1.756152486e+09,2.750000000e-01,1.503726226e-10
1.756152486e+09,2.500000000e-01,1.452292803e-10
1.756152486e+09,2.250000000e-01,1.402057561e-10
1.756152486e+09,2.000000000e-01,1.352996222e-10
1.756152486e+09,1.750000000e-01,1.305084967e-10
1.756152486e+09,1.500000000e-01,1.258300426e-10
1.756152486e+09,1.250000000e-01,1.212619670e-10
1.756152486e+09,1.000000000e-01,1.168020201e-10
1.756152486e+09,7.500000000e-02,1.124479949e-10
1.756152486e+09,5.000000000e-02,1.081977261e-10
1.756152486e+09,2.500000000e-02,1.040490891e-10
1.756152486e+09,0.000000000e+00,1.000000000e-10
