t_s,V_V,I_A
1.756152482e+09,0.000000000e+00,1.000000000e-10
1.756152482e+09,1.250000000e-02,1.020122298e-10
1.756152482e+09,2.500000000e-02,1.040490891e-10
1.756152482e+09,3.750000000e-02,1.061108348e-10
1.756152482e+09,5.000000000e-02,1.081977261e-10
1.756152482e+09,6.250000000e-02,1.103100247e-10
1.756152482e+09,7.500000000e-02,1.124479949e-10
1.756152482e+09,8.750000000e-02,1.146119036e-10
1.756152482e+09,1.000000000e-01,1.168020201e-10
1.756152482e+09,1.125000000e-01,1.190186164e-10
1.756152482e+09,1.250000000e-01,1.212619670e-10
1.756152482e+09,1.375000000e-01,1.235323491e-10
1.756152482e+09,1.500000000e-01,1.258300426e-10
1.756152482e+09,1.625000000e-01,1.281553301e-10
1.756152482e+09,1.750000000e-01,1.305084967e-10
1.756152482e+09,1.875000000e-01,1.328898305e-10
1.756152482e+09,2.000000000e-01,1.352996222e-10
1.756152482e+09,2.125000000e-01,1.377381653e-10
1.756152482e+09,2.250000000e-01,1.402057561e-10
1.756152482e+09,2.375000000e-01,1.427026938e-10
1.756152482e+09,2.500000000e-01,1.452292803e-10
1.756152482e+09,2.625000000e-01,1.477858207e-10
1.756152482e+09,2.750000000e-01,1.503726226e-10
1.756152483e+09,2.875000000e-01,1.529899969e-10
1.756152483e+09,3.000000000e-01,1.556382572e-10
1.756152483e+09,3.125000000e-01,1.583177202e-10
1.756152483e+09,3.250000000e-01,1.610287057e-10
1.756152483e+09,3.375000000e-01,1.637715364e-10
1.756152483e+09,3.500000000e-01,1.665465381e-10
1.756152483e+09,3.625000000e-01,1.693540398e-10
1.756152483e+09,3.750000000e-01,1.721943735e-10
1.756152483e+09,3.875000000e-01,1.750678744e-10
1.756152483e+09,4.000000000e-01,1.779748810e-10
1.756152483e+09,4.125000000e-01,1.809157349e-10
1.756152483e+09,4.250000000e-01,1.838907810e-10
1.756152483e+09,4.375000000e-01,1.869003673e-10
1.756152483e+09,4.500000000e-01,1.899448454e-10
1.756152483e+09,4.625000000e-01,1.930245699e-10
1.756152483e+09,4.750000000e-01,1.961398991e-10
1.756152483e+09,4.875000000e-01,1.992911946e-10
1.756152483e+09,5.000000000e-01,2.024788211e-10
1.756152483e+09,4.875000000e-01,1.992911946e-10
1.756152483e+09,4.750000000e-01,1.961398991e-10
1.756152483e+09,4.625000000e-01,1.930245699e-10
1.756152483e+09,4.500000000e-01,1.899448454e-10
1.756152483e+09,4.375000000e-01,1.869003673e-10
1.756152483e+09,4.250000000e-01,1.838907810e-10
1.756152483e+09,4.125000000e-01,1.809157349e-10
1.756152483e+09,4.000000000e-01,1.779748810e-10
1.756152483e+09,3.875000000e-01,1.750678744e-10
1.756152483e+09,3.750000000e-01,1.721943735e-10
1.756152483e+09,3.625000000e-01,1.693540398e-10
1.756152483e+09,3.500000000e-01,1.665465381e-10
1.756152483e+09,3.375000000e-01,1.637715364e-10
1.756152483e+09,3.250000000e-01,1.610287057e-10
1.756152483e+09,3.125000000e-01,1.583177202e-10
1.756152483e+09,3.000000000e-01,1.556382572e-10
1.756152483e+09,2.875000000e-01,1.529899969e-10
1.756152483e+09,2.750000000e-01,1.503726226e-10
1.756152483e+09,2.625000000e-01,1.477858207e-10
1.756152483e+09,2.500000000e-01,1.452292803e-10
1.756152483e+09,2.375000000e-01,1.427026938e-10
1.756152484e+09,2.250000000e-01,1.402057561e-10
1.756152484e+09,2.125000000e-01,1.377381653e-10
1.756152484e+09,2.000000000e-01,1.352996222e-10
1.756152484e+09,1.875000000e-01,1.328898305e-10
1.756152484e+09,1.750000000e-01,1.305084967e-10
1.756152484e+09,1.625000000e-01,1.281553301e-10
1.756152484e+09,1.500000000e-01,1.258300426e-10
1.756152484e+09,1.375000000e-01,1.235323491e-10
1.756152484e+09,1.250000000e-01,1.212619670e-10
1.756152484e+09,1.125000000e-01,1.190186164e-10
1.756152484e+09,1.000000000e-01,1.168020201e-10
1.756152484e+09,8.750000000e-02,1.146119036e-10
1.756152484e+09,7.500000000e-02,1.124479949e-10
1.756152484e+09,6.250000000e-02,1.103100247e-10
1.756152484e+09,5.000000000e-02,1.081977261e-10
1.756152484e+09,3.750000000e-02,1.061108348e-10
1.756152484e+09,2.500000000e-02,1.040490891e-10
1.756152484e+09,1.250000000e-02,1.020122298e-10
1.756152484e+09,0.000000000e+00,1.000000000e-10
